tenure_months,monthly_charges,total_charges,num_support_tickets,avg_session_minutes,logins_last_30d,discount_pct,account_age_days,churned
14.95,82.41,4517.45,7,33.65,38,12.76,849,0
22.83,81.39,4577.31,11,34.68,23,13.86,784,0
39.16,92.82,6316.04,7,42.84,26,17.84,1411,0
21.39,79.57,5599.07,6,30.05,37,19.05,991,0
54.81,68.59,4654.47,9,27.87,35,22.81,1317,1
26.01,93.75,4515.54,8,58.41,19,9.4,1163,0
32.38,59.39,3013.83,8,42.42,8,20.86,1276,0
26.31,83.23,5133.41,8,36.33,27,15.95,1448,0
31.7,92.48,5370.03,7,61.23,23,13.7,1099,0
17.75,63.47,1945.38,9,42.03,30,11.69,1537,0
13.67,82.0,4721.43,6,35.65,28,14.77,1187,0
45.03,44.71,3434.5,6,51.68,18,30.43,1138,0
52.19,65.99,3599.68,7,64.67,38,20.07,686,1
32.49,85.57,5558.98,9,53.8,21,17.03,1522,0
29.52,92.77,4580.41,9,60.37,51,7.87,1483,1
30.32,65.72,4669.36,5,29.79,25,23.82,1017,0
33.83,85.34,4853.87,12,69.37,19,13.75,1420,0
33.66,85.12,5532.38,11,49.33,21,16.84,826,0
18.45,89.63,3215.52,9,54.35,27,4.77,798,0
32.45,87.48,4988.68,10,62.9,23,13.8,1486,0
32.68,97.28,4451.21,9,50.37,23,7.64,975,0
35.79,94.24,4898.7,9,39.87,11,11.51,309,0
23.51,92.84,6076.8,4,29.26,13,17.27,787,0
42.02,49.86,2604.13,6,42.84,21,24.52,776,0
25.19,87.66,4931.64,8,56.68,30,13.14,1591,0
35.36,89.51,6695.58,7,47.52,17,21.01,1059,0
28.46,58.31,4269.77,7,43.69,21,25.2,1185,0
21.96,72.4,4377.08,7,41.92,9,19.42,794,0
42.26,85.1,5612.46,11,52.2,27,17.52,460,1
25.71,92.79,6177.88,9,55.9,51,13.56,1366,1
41.82,99.73,4676.86,12,19.91,11,7.97,1256,0
35.63,82.31,6139.03,7,51.65,42,20.72,486,1
27.64,88.58,5644.84,6,42.06,33,15.98,1081,0
33.35,91.85,6089.41,6,59.29,21,17.42,914,0
21.0,81.35,4070.52,11,57.31,13,12.34,1657,0
31.72,82.02,5284.3,12,20.91,15,16.98,1162,0
19.0,64.4,4056.54,10,31.72,29,19.25,1047,0
72.0,89.52,4074.82,4,33.89,39,14.04,588,1
32.6,85.1,3665.59,8,51.7,44,8.95,1186,1
44.34,63.8,4078.22,9,35.68,26,22.33,449,1
10.18,82.57,6090.53,11,45.58,35,16.92,879,0
54.93,58.58,4303.37,8,29.43,38,26.04,1588,1
35.84,87.48,5725.4,9,58.98,25,17.08,1219,0
33.02,51.89,3632.42,10,46.08,25,24.85,1563,0
14.6,87.41,5795.62,3,48.43,24,17.45,1178,0
26.03,88.64,4015.93,7,65.48,39,8.92,1523,1
27.5,88.09,4603.03,9,48.3,25,11.84,454,0
37.19,50.08,2933.57,8,51.23,21,24.6,811,0
18.21,84.63,5211.03,6,35.22,23,15.94,1733,0
28.07,48.77,3315.47,9,34.08,35,24.33,835,0
31.31,88.35,5812.1,7,44.23,30,16.97,792,0
31.28,88.61,5242.56,6,41.81,46,13.8,1129,1
12.21,86.86,4093.13,7,72.02,20,9.97,948,0
36.66,96.67,5192.87,9,30.16,19,11.06,805,0
51.8,31.29,2152.14,6,45.43,8,33.01,1266,0
66.26,72.81,5323.87,9,46.03,35,24.47,960,1
26.51,56.99,2991.88,9,26.47,16,20.49,653,0
41.74,63.32,2989.76,9,27.37,24,18.26,1065,1
30.85,89.44,5730.64,8,43.6,22,16.34,1405,0
17.67,80.11,4591.43,7,39.97,24,15.06,960,0
18.73,86.44,4505.6,8,32.47,22,11.85,967,0
34.6,95.4,5241.54,8,70.48,29,11.46,1007,0
28.14,34.53,3147.76,12,24.84,38,29.1,1839,1
19.98,74.08,3613.84,6,43.52,16,15.35,966,0
33.3,78.98,3443.8,7,56.51,32,12.18,768,1
21.54,93.66,4978.32,9,54.71,40,9.18,1427,1
19.72,84.11,4315.55,10,44.0,29,11.23,1843,1
26.6,65.89,5256.0,9,25.91,24,24.59,881,0
31.38,85.8,4486.47,12,67.62,18,12.27,800,0
28.27,61.43,2815.86,7,62.86,17,18.47,884,0
26.22,65.51,3573.74,7,49.42,20,19.16,713,0
60.63,68.52,2865.66,5,45.05,43,17.48,1366,1
22.96,94.8,4015.62,8,43.81,45,5.16,1043,1
38.05,39.68,3103.39,10,63.39,21,29.27,1575,0
42.77,96.1,5066.23,11,37.9,17,11.03,1301,0
19.04,79.62,4428.9,10,36.73,19,14.29,980,0
30.05,79.13,4674.85,11,45.88,28,15.35,1517,0
24.11,82.42,3786.16,11,40.49,28,10.16,1177,0
41.09,76.23,4446.19,13,55.0,48,14.89,1068,1
39.32,46.52,2275.12,7,60.28,27,23.69,1057,0
23.75,54.19,2667.08,10,45.91,16,19.92,1196,0
22.88,97.83,5479.55,9,45.98,54,8.15,1265,1
27.41,88.66,5211.87,8,50.3,19,14.5,1253,0
23.04,73.96,3111.55,8,55.3,15,13.14,1075,1
20.35,80.56,4586.41,8,62.09,37,14.1,1198,0
31.24,59.45,3309.68,10,57.26,35,19.35,797,1
28.17,62.8,4143.72,8,27.93,37,21.28,533,0
34.28,50.87,4018.65,10,63.25,25,26.8,1554,0
27.07,62.82,3902.76,9,41.79,14,21.51,1292,0
25.59,84.99,5561.11,10,10.39,36,15.56,1132,1
62.15,87.66,3633.53,5,43.66,38,12.07,985,0
27.18,85.65,5443.54,7,50.79,28,16.4,674,0
27.72,49.72,2343.25,10,46.53,21,20.76,1169,0
25.32,74.87,5771.12,8,23.87,34,21.72,575,0
27.08,53.73,3169.1,8,46.68,26,22.24,694,0
8.32,73.83,2637.42,8,49.69,23,9.41,715,1
23.75,69.25,3553.3,8,29.29,24,16.59,1128,0
38.09,94.44,4508.9,11,47.52,22,9.0,526,0
31.72,70.35,4302.14,6,39.18,10,21.33,1156,0
33.16,93.15,5720.98,8,36.67,15,15.21,668,0
21.59,41.5,2050.69,10,63.11,40,21.63,1327,1
21.85,57.35,3491.73,12,73.28,26,20.16,1359,0
10.74,73.32,2995.53,9,36.74,19,11.18,748,0
20.42,66.9,2197.8,7,67.97,24,12.33,374,0
27.09,97.78,4505.83,8,39.93,10,8.19,746,0
14.55,66.6,1740.1,9,42.35,30,9.19,1603,0
28.07,61.05,2832.19,8,58.81,23,17.93,1235,0
23.92,59.22,4601.72,9,59.24,20,25.0,1416,0
29.91,52.21,3804.01,10,36.44,10,26.12,1511,0
25.71,52.25,3564.24,10,56.24,29,23.71,1018,0
31.3,86.74,3535.35,13,34.66,23,7.2,1036,0
30.81,89.93,5236.99,9,55.3,23,13.79,539,0
33.98,48.85,3953.56,9,59.94,22,28.08,949,0
18.96,92.94,4418.52,6,64.27,11,9.89,1524,0
66.79,68.03,1846.17,3,36.23,47,14.77,1077,1
64.05,71.48,4876.05,8,67.3,36,23.38,1215,1
22.88,81.58,4933.75,10,36.4,28,15.18,1367,0
66.04,59.65,3874.42,7,37.21,41,25.19,808,1
17.49,63.87,2988.48,10,27.75,25,15.58,1183,0
20.92,58.42,3483.93,10,45.8,51,18.39,1117,0
9.04,73.61,3301.0,11,52.3,26,10.98,1339,0
28.6,58.62,2718.76,8,29.27,22,18.8,1440,0
26.61,87.37,5589.84,10,49.76,43,14.07,1347,1
26.85,61.3,3181.22,9,19.13,17,19.19,936,0
35.95,100.79,5488.86,7,48.61,23,10.83,818,0
21.08,82.12,4334.57,9,39.3,29,12.6,384,0
32.41,41.6,2343.31,9,37.04,35,24.51,1259,0
27.37,59.67,3010.67,8,35.77,8,20.28,900,0
35.3,54.42,4638.62,7,39.88,24,28.98,839,0
23.24,57.45,2472.8,10,43.61,24,17.07,1063,0
45.68,94.22,7002.44,7,31.74,16,20.87,1018,0
